Recency,Frequency,Monetary,Cluster,PCA1,PCA2,Segment
36,2,2409.9,0,0.041371952184452124,-0.534263193128602,Loyal Customers
46,1,1635.6599999999999,0,-0.13886863330089463,-0.49575835786994965,Loyal Customers
119,4,1108.65,0,-0.19072877083823198,0.19249108745021506,Loyal Customers
303,1,84.3,1,-1.2265262636457683,1.7600773262079419,At Risk
323,1,225.6,1,-1.29274293136948,1.9474278750937184,At Risk
50,1,427.7,0,-0.2390434856837532,-0.5139552097832173,Loyal Customers
149,1,1710.39,1,-0.5258012499962852,0.43969396809890926,At Risk
22,2,3415.3,0,0.16537917084254286,-0.6156815203002634,Loyal Customers
50,5,1708.1200000000001,0,0.20187309870585735,-0.38779768494903794,Loyal Customers
33,5,2888.55,0,0.3496114434014013,-0.48848258665745886,Loyal Customers
79,3,11072.67,0,0.5745320373941026,0.2620700223027972,Loyal Customers
309,2,693.3299999999999,1,-1.118825671280927,1.8589233381645902,At Risk
75,3,1226.88,0,-0.10259753529044399,-0.2174832655531623,Loyal Customers
67,3,758.1,0,-0.10510116762679117,-0.3109875446005194,Loyal Customers
217,3,562.41,1,-0.6900092530085806,1.0376091341396607,At Risk
24,21,124914.53,2,10.368306954060222,5.198901270352006,Potential Loyalists
3,9,3649.1,0,0.8681999633522206,-0.6572165165474201,Loyal Customers
113,1,668.58,0,-0.46198647510776947,0.06700322187186877,Loyal Customers
64,1,600.39,0,-0.2802069119521428,-0.3794875136498255,Loyal Customers
16,4,807.04,0,0.18024954727438872,-0.7531776403470588,Loyal Customers
96,3,803.5600000000001,0,-0.2123261699744369,-0.046508153253762605,Loyal Customers
1,8,1859.31,0,0.66223723423151,-0.7730345649654108,Loyal Customers
163,2,1760.96,1,-0.487832981202028,0.5857876626015882,At Risk
78,1,777.2,0,-0.3210806180593854,-0.24483429399945073,Loyal Customers
195,1,582.73,1,-0.7802505547147215,0.805187430306792,At Risk
22,3,825.8,0,0.07100364959191904,-0.7151615936137805,Loyal Customers
26,9,7956.46,0,1.0835194740457306,-0.2551201978969481,Loyal Customers
9,4,3750.4,0,0.4138814110948975,-0.6839839333116828,Loyal Customers
43,1,256.4,0,-0.22443584446466427,-0.5850145797880875,Loyal Customers
36,15,6419.95,3,1.4637103159691465,-0.13106494881855293,Big Spenders
43,5,5059.32,0,0.46418444566281214,-0.3002389509315535,Loyal Customers
1,7,13375.87,0,1.3843674306685847,-0.2715691597303035,Loyal Customers
85,2,806.14,0,-0.2579798496676756,-0.16306033241746162,Loyal Customers
80,2,7829.89,0,0.2549714887555236,0.10797203537219524,Loyal Customers
100,1,509.01,0,-0.42370809203727794,-0.05782429028924125,Loyal Customers
2,18,4951.41,3,1.7530596374272491,-0.4534973785479952,Big Spenders
14,2,2906.85,0,0.1600859271487447,-0.7109721386482781,Loyal Customers
367,1,173.55,1,-1.463939586692186,2.3432572526549875,At Risk
3,1,172.06,0,-0.07806078106845758,-0.9507880337545388,Loyal Customers
21,5,5005.46,0,0.544165225976296,-0.5017508596525222,Loyal Customers
22,1,133.4,0,-0.153124665712172,-0.7805904706792525,Loyal Customers
58,1,1002.3100000000001,0,-0.22909784250901336,-0.4156854079683129,Loyal Customers
243,1,476.49,1,-0.9704884628264814,1.2347741958065674,At Risk
44,1,449.45,0,-0.21466813314917293,-0.567272151541358,Loyal Customers
22,4,4067.29,0,0.38666583767286045,-0.5520723047205383,Loyal Customers
156,2,197.88,1,-0.5710959045171753,0.45205646724079657,At Risk
11,5,9035.52,0,0.8656372399393083,-0.41077124542386756,Loyal Customers
17,2,430.57,0,-0.02547008258757682,-0.7953308052418077,Loyal Customers
134,1,707.09,0,-0.5392390267765974,0.25877452976548965,Loyal Customers
56,1,3528.34,0,-0.043851038712625884,-0.32003710924058837,Loyal Customers
73,6,2466.86,0,0.2553713597605812,-0.1283705938860138,Loyal Customers
44,3,3181.04,0,0.15285689463287372,-0.4100185898651421,Loyal Customers
66,7,2363.23,0,0.36245680997048985,-0.17925772564582626,Loyal Customers
71,2,947.4,0,-0.19473932519732634,-0.283390866376881,Loyal Customers
94,2,826.88,0,-0.29079022885799133,-0.0806818949055443,Loyal Customers
19,2,1189.59,0,0.020289233852849416,-0.7430533686626092,Loyal Customers
53,4,1344.78,0,0.07718070730846696,-0.39413576542646517,Loyal Customers
10,8,1212.05,0,0.582452809496015,-0.7207361539934318,Loyal Customers
17,2,742.1899999999999,0,-0.0035568309816055577,-0.7812985629208862,Loyal Customers
188,2,729.5400000000001,1,-0.6555540566510182,0.7655776067006654,At Risk
2,30,19788.65,3,3.8490514045689572,0.42012395378782397,Big Spenders
32,7,6572.11,0,0.7878870557214616,-0.29741122569988837,Loyal Customers
29,5,3928.0499999999997,0,0.4379401165738693,-0.477871485149757,Loyal Customers
17,18,7324.09,3,1.86279280116663,-0.21091478640729894,Big Spenders
54,1,723.38,0,-0.233481730516382,-0.4644431827945196,Loyal Customers
16,11,6816.42,0,1.2168662973119146,-0.3626999634746609,Loyal Customers
23,6,13219.74,0,1.2019008381277692,-0.09663815598667408,Loyal Customers
4,1,680.99,0,-0.04608025312600326,-0.9188215354727256,Loyal Customers
11,1,527.2,0,-0.08354836210898801,-0.8624009616173591,Loyal Customers
28,4,3281.63,0,0.30857200739513946,-0.5331542148697693,Loyal Customers
23,10,5579.82,0,1.0155353006034793,-0.3721633616094916,Loyal Customers
17,8,2484.98,0,0.6453122607828182,-0.6000704072861779,Loyal Customers
33,6,4527.32,0,0.5525696759790942,-0.39756374706974057,Loyal Customers
10,3,1298.66,0,0.14994713339652602,-0.8024614049815769,Loyal Customers
336,1,334.93,1,-1.3345542127157046,2.069993081067154,At Risk
5,10,5417.93,0,1.07268877631331,-0.5423422965070896,Loyal Customers
39,1,460.40000000000003,0,-0.19485988843740193,-0.6120260264452339,Loyal Customers
63,2,263.21000000000004,0,-0.2123906808134446,-0.3865950533837712,Loyal Customers
166,2,433.74,1,-0.5925866005578947,0.5531711446547376,At Risk
16,7,1246.1000000000001,0,0.4742821111494522,-0.6820315988682439,Loyal Customers
82,1,1043.1,0,-0.31761300522185765,-0.1966632598106922,Loyal Customers
21,3,403.70000000000005,0,0.045129044366063444,-0.7432181387452,Loyal Customers
23,11,4257.82,0,1.0102909211620095,-0.41456793546287113,Loyal Customers
337,1,2169.39,1,-1.2093618485584274,2.161648168539812,At Risk
96,5,3723.87,0,0.16846972887839762,0.11924346621978442,Loyal Customers
18,2,482.04999999999995,0,-0.025657634188000225,-0.7839632712424719,Loyal Customers
233,1,73.5,1,-0.960750419827627,1.1261336578602616,At Risk
134,3,1304.81,0,-0.3217686495446883,0.31993996833874405,Loyal Customers
26,2,397.88,0,-0.06203768221723232,-0.7153583195532869,Loyal Customers
284,1,176.5,1,-1.1476974233156931,1.5922906682538358,At Risk
143,2,982.5699999999999,0,-0.4664167546106193,0.36974896385304307,Loyal Customers
66,2,132.18,0,-0.23302770804253267,-0.36534715973360243,Loyal Customers
113,1,612.29,0,-0.46594481196965293,0.06446848430610062,Loyal Customers
267,1,1017.68,1,-1.023815283636919,1.476329345881232,At Risk
353,1,383.7,1,-1.3958546879739213,2.2260288340074497,At Risk
78,2,1312.06,0,-0.19574980856219987,-0.20362449946817462,Loyal Customers
28,5,2481.6,0,0.34003278147645005,-0.5520544901407362,Loyal Customers
1,5,2056.89,0,0.41297346729639123,-0.8155127200723897,Loyal Customers
64,1,330.84,0,-0.2991617831747522,-0.39162534471844884,Loyal Customers
79,5,2634.26,0,0.15657789041618855,-0.08366129094780074,Loyal Customers
143,1,599.68,1,-0.5810609687462766,0.33538237535960297,At Risk
39,2,192.72,0,-0.12596403479624668,-0.606954591942943,Loyal Customers
19,11,1789.77,0,0.8519671789871812,-0.5619017397787632,Loyal Customers
9,8,4485.72,0,0.8164663304745121,-0.5823722504938513,Loyal Customers
1,3,1316.66,0,0.18548172594675236,-0.8830953810740972,Loyal Customers
82,3,348.71000000000004,0,-0.1910043555189632,-0.19368150850168891,Loyal Customers
9,6,1933.48,0,0.4615532713579264,-0.7315496852839326,Loyal Customers
60,4,1662.28,0,0.07285391258444575,-0.3164930123674946,Loyal Customers
15,1,125.22,0,-0.12704635636534406,-0.844304550370957,Loyal Customers
30,1,349.83000000000004,0,-0.1683663932460734,-0.6984495070470953,Loyal Customers
131,1,1089.18,0,-0.5009473530286879,0.24883186285651404,Loyal Customers
92,2,716.35,0,-0.2909474512930383,-0.10375783985168194,Loyal Customers
43,3,12601.830000000002,0,0.8191385216767647,0.005150003371243827,Loyal Customers
29,1,363.95,0,-0.16356582160408745,-0.7068630743682575,Loyal Customers
22,4,5568.35,0,0.4922210185202362,-0.48447960316658634,Loyal Customers
20,17,13400.24,3,2.190928099211945,0.07271723806088429,Big Spenders
30,3,981.18,0,0.05146885996141109,-0.6357697102514784,Loyal Customers
36,1,372.7,0,-0.1896040483072616,-0.6431233275880384,Loyal Customers
75,2,1000.39,0,-0.20624363457091255,-0.24480716519803006,Loyal Customers
47,2,1161.5,0,-0.08830018872847785,-0.4909353229704825,Loyal Customers
198,2,207.79999999999998,1,-0.7303195085375879,0.8325775713800895,At Risk
166,1,95.19999999999999,1,-0.7041121037355749,0.5208016357676541,At Risk
79,1,964.83,0,-0.3116940434607427,-0.22733592824350926,Loyal Customers
358,1,168.0,1,-1.4300610402087097,2.261562820536995,At Risk
39,2,437.82,0,-0.10872849802510376,-0.5959177438816572,Loyal Customers
8,10,3692.28,0,0.9399173890434225,-0.5929001093256582,Loyal Customers
50,2,599.56,0,-0.13923899135557977,-0.4890912979375665,Loyal Customers
16,5,11990.960000000001,0,1.0544268080490415,-0.2324408885921356,Loyal Customers
8,1,269.96,0,-0.09021464725089809,-0.9011326455439678,Loyal Customers
311,2,561.71,1,-1.1356965403560075,1.87109527349,At Risk
5,3,2134.01,0,0.22772753850866512,-0.810092564496942,Loyal Customers
303,1,238.85,1,-1.2156582415813857,1.7670367095937913,At Risk
8,7,3781.7400000000002,0,0.6830505774910209,-0.6402469058540415,Loyal Customers
261,1,456.9,1,-1.0404036897122688,1.39678108996095,At Risk
289,1,145.92,1,-1.1688860580185596,1.636160604653252,At Risk
86,1,351.65,0,-0.381466653615883,-0.19160167683152945,Loyal Customers
23,10,9401.28,0,1.2842620013356367,-0.20008309481111894,Loyal Customers
2,32,4124.69,3,2.9229934929368957,-0.25097373036943826,Big Spenders
40,2,519.61,0,-0.10678463746912838,-0.5831853511930616,Loyal Customers
9,2,1020.42,0,0.04646959920106595,-0.84116499672034,Loyal Customers
227,1,160.54000000000002,1,-0.9317838465839976,1.0757567234865406,At Risk
316,1,218.45,1,-1.2665921919823653,1.8837601762812597,At Risk
36,5,1315.83,0,0.22759415910340647,-0.5321539646575353,Loyal Customers
35,3,626.6,0,0.007496406760583221,-0.6064894873235293,Loyal Customers
21,2,2794.51,0,0.1255325998840949,-0.6526850721281205,Loyal Customers
78,1,440.42,0,-0.3447631316203218,-0.2599994906134035,Loyal Customers
247,1,415.7,1,-0.9899938304367899,1.268234385878062,At Risk
40,1,197.71,0,-0.21714000873382683,-0.6148055612154376,Loyal Customers
239,2,511.36,1,-0.8650865750316006,1.2172718881659501,At Risk
3,15,7281.38,3,1.6499387996034125,-0.39090466428554393,Big Spenders
4,9,2338.15,0,0.7722057517635955,-0.7071991779954019,Loyal Customers
234,2,2040.1,1,-0.7385466887210006,1.24086406637892,At Risk
17,1,196.94000000000003,0,-0.12961826972013007,-0.8229762189428059,Loyal Customers
8,1,144.0,0,-0.09907220829411784,-0.9068046218058999,Loyal Customers
39,1,214.89999999999998,0,-0.21212355337952998,-0.6230808864984597,Loyal Customers
29,2,646.68,0,-0.0559649014831086,-0.6770066886566141,Loyal Customers
211,2,9864.26,1,-0.10077252724047672,1.3850498488808334,At Risk
317,1,452.84999999999997,1,-1.2539167309912853,1.9033645941947948,At Risk
92,2,437.6,0,-0.3105492704483059,-0.11630994673492719,Loyal Customers
109,3,418.09999999999997,0,-0.2889312956250019,0.05377666898958905,Loyal Customers
38,10,3338.2200000000003,0,0.800790322309611,-0.3373617048920092,Loyal Customers
51,2,618.27,0,-0.14173094336396058,-0.479199396377922,Loyal Customers
19,4,3811.22,0,0.3800818274310819,-0.5907513035707221,Loyal Customers
10,8,3023.08,0,0.7098052132440482,-0.6391855095853112,Loyal Customers
29,7,1032.58,0,0.4097678797968484,-0.5740043218894477,Loyal Customers
29,10,2599.04,0,0.7830796935935216,-0.4520914811275093,Loyal Customers
190,5,577.0600000000001,1,-0.4107341328497463,0.8281853951721829,At Risk
59,1,153.12,0,-0.2926208935123959,-0.44487502592066325,Loyal Customers
22,1,739.1999999999999,0,-0.11052455075518149,-0.7533113088859971,Loyal Customers
79,2,254.18,0,-0.2739480295728032,-0.24221142391546466,Loyal Customers
60,1,1579.51,0,-0.19612418618988128,-0.37159532232547915,Loyal Customers
78,3,1126.85,0,-0.12105462926818394,-0.19483944252763719,Loyal Customers
23,5,2099.54,0,0.332204394991049,-0.6145055974255419,Loyal Customers
52,1,1193.32,0,-0.1928200544220722,-0.4613805753370075,Loyal Customers
74,1,704.0400000000001,0,-0.31099467170772477,-0.2843262498718804,Loyal Customers
57,5,3344.38,0,0.2902820709027355,-0.2507711956628082,Loyal Customers
278,1,315.6,1,-1.1150699686183483,1.5442579946311168,At Risk
2,4,2291.19,0,0.3379226705803157,-0.8130378646654334,Loyal Customers
95,2,713.3,0,-0.3025848702154317,-0.07674700938028373,Loyal Customers
29,1,352.98,0,-0.16433723669335487,-0.7073570532472142,Loyal Customers
22,1,177.31,0,-0.15003689574227858,-0.7786132042640299,Loyal Customers
16,9,3641.24,0,0.8181478311116251,-0.5399283739126302,Loyal Customers
15,3,1339.41,0,0.13377445478458405,-0.7553794801194454,Loyal Customers
2,20,13689.67,3,2.542976267237534,-0.025763587804935355,Big Spenders
232,1,180.1,1,-0.9494466150538773,1.1218844630756464,At Risk
276,1,305.1,1,-1.108193038694287,1.5256863985693954,At Risk
106,2,641.13,0,-0.34954401473374136,0.019546473977045113,Loyal Customers
212,2,2683.82,1,-0.6095117846179864,1.0707641710018587,At Risk
23,9,6620.48,0,1.0009957309825528,-0.3424275222871693,Loyal Customers
11,7,4478.53,0,0.7206262065242238,-0.5817222942842745,Loyal Customers
4,3,786.46,0,0.1367748936873211,-0.8798221044807357,Loyal Customers
10,2,1270.88,0,0.06027440625719908,-0.82083739733041,Loyal Customers
57,1,640.5,0,-0.2507328291631341,-0.4410270956145635,Loyal Customers
59,4,2163.98,0,0.11194131824876484,-0.3029508621132928,Loyal Customers
90,2,1689.18,0,-0.21492233543193923,-0.07805010582729914,Loyal Customers
67,8,6002.9,0,0.7023115386523756,0.010810991260818583,Loyal Customers
33,1,671.69,0,-0.15715600208151437,-0.6568079858225663,Loyal Customers
239,1,486.1,1,-0.9545820946937211,1.1990093713663397,At Risk
24,3,1174.58,0,0.08791471386998842,-0.6813572559683311,Loyal Customers
115,1,185.9,0,-0.5035440334479558,0.06336693247106504,Loyal Customers
25,3,1013.26,0,0.07276297530547202,-0.6795721016811194,Loyal Customers
128,6,3344.64,0,0.10767662823733437,0.4088723068424923,Loyal Customers
130,1,477.91,0,-0.5401244735176896,0.21225699643683074,Loyal Customers
34,4,1775.18,0,0.17979191620647564,-0.5466932841952311,Loyal Customers
5,2,1346.97,0,0.0846633236138997,-0.8626580193468433,Loyal Customers
22,12,3722.82,0,1.064196365340008,-0.4305833058107847,Loyal Customers
155,1,318.05,1,-0.646557077207164,0.4312932697741545,At Risk
107,3,623.51,0,-0.26687148220743806,0.044927495877325876,Loyal Customers
3,1,314.44,0,-0.06804855860629794,-0.9443766652234663,Loyal Customers
335,1,114.0,1,-1.34628245754886,2.0509952169822006,At Risk
331,1,919.98,1,-1.2743750105975151,2.0510909175952823,At Risk
149,2,2209.85,1,-0.40295978363128426,0.479309701343488,At Risk
11,5,601.98,0,0.2725871021143201,-0.7905333816897835,Loyal Customers
17,5,4051.17,0,0.49228973407762144,-0.5809200816703648,Loyal Customers
11,4,1643.18,0,0.25808550552422344,-0.7607732261783421,Loyal Customers
19,1,686.05,0,-0.10283913985619988,-0.7828528242249768,Loyal Customers
30,1,91.68,0,-0.1865196115956064,-0.7100739963454262,Loyal Customers
11,1,245.1,0,-0.10338575469625615,-0.8751039189331026,Loyal Customers
1,11,3849.78,0,1.0653656124767035,-0.6320285624471861,Loyal Customers
8,9,4881.88,0,0.9358513438888117,-0.556457504804446,Loyal Customers
325,1,63.0,1,-1.3117923272873593,1.958204781643369,At Risk
58,1,620.13,0,-0.25597290347676277,-0.43289496566746505,Loyal Customers
12,4,3807.15,0,0.40644915373478213,-0.6542803100452422,Loyal Customers
151,3,2744.0299999999997,1,-0.2852920864371946,0.5385876567617602,At Risk
10,5,2996.05,0,0.4447467750965001,-0.6917778484664452,Loyal Customers
330,1,225.89999999999998,1,-1.319375365684715,2.0107871185442034,At Risk
5,2,610.52,0,0.03287584480888868,-0.8958203480075283,Loyal Customers
39,4,1970.6,0,0.1744956981102116,-0.4926465723496682,Loyal Customers
25,6,1331.39,0,0.35829168988745386,-0.6138715356655899,Loyal Customers
42,12,17628.46,3,1.96589397016021,0.37657519592639205,Big Spenders
59,4,1113.02,0,0.03803736180241496,-0.3502755697366665,Loyal Customers
1,4,862.81,0,0.24128602560715004,-0.8864071779205194,Loyal Customers
15,22,13787.54,3,2.6757975651214028,0.13053569361660539,Big Spenders
4,31,12279.82,3,3.401131200475123,0.11722533097108148,Big Spenders
4,15,8476.57,3,1.7301774240965178,-0.32803589203172767,Big Spenders
8,7,2283.63,0,0.5777028419046607,-0.7077067689674355,Loyal Customers
28,6,2863.08,0,0.4545778438093847,-0.5177513939188848,Loyal Customers
372,1,89.14,1,-1.4889135700053773,2.3847032252390674,At Risk
114,1,4873.8099999999995,0,-0.1700805511344072,0.2654140346740025,Loyal Customers
26,2,1247.61,0,-0.0022843053892304226,-0.6770949947751704,Loyal Customers
206,1,389.01,1,-0.8357571471911397,0.896007519613328,At Risk
28,6,1035.8,0,0.32608273311508024,-0.6000337754995714,Loyal Customers
127,4,855.91,0,-0.23896273332487558,0.2535053354360506,Loyal Customers
70,2,869.67,0,-0.1963976848178026,-0.2959404373472847,Loyal Customers
7,4,582.1,0,0.19870049517679184,-0.8447511997443884,Loyal Customers
29,3,957.59,0,0.05361764828377321,-0.6458813581127919,Loyal Customers
8,4,4939.99,0,0.5013415356066319,-0.6394661102183221,Loyal Customers
80,2,797.71,0,-0.23953441484013452,-0.20868688833083449,Loyal Customers
20,1,219.0,0,-0.13948994270893147,-0.794834685677369,Loyal Customers
71,1,283.55,0,-0.32914076663294406,-0.3304090780090353,Loyal Customers
7,8,2340.84,0,0.6732527464304296,-0.6970549349482579,Loyal Customers
15,9,6868.29,0,1.0488830137618046,-0.40366376807366633,Loyal Customers
292,1,603.42,1,-1.1481374040729406,1.6839099923446628,At Risk
30,10,2712.91,0,0.7872794334625048,-0.4379145266853191,Loyal Customers
15,15,9706.52,3,1.7747839145861257,-0.17310797131184705,Big Spenders
97,3,1149.02,0,-0.19184092230933358,-0.021902705778062928,Loyal Customers
29,13,4396.13,0,1.1726095075759502,-0.31979337611271763,Loyal Customers
1,1,848.55,0,-0.022874420681697566,-0.9384244839589663,Loyal Customers
9,5,4708.86,0,0.5689999536653435,-0.623699439315859,Loyal Customers
106,1,343.36,0,-0.45820255408376137,-0.010987162631545378,Loyal Customers
4,2,1053.49,0,0.06783333176831505,-0.8849228084699291,Loyal Customers
151,2,1030.98,1,-0.4934737203668276,0.4443239902707685,At Risk
71,1,238.25,0,-0.33232628199701086,-0.33244893609624965,Loyal Customers
5,2,644.95,0,0.03529697712643438,-0.8942699658012856,Loyal Customers
3,25,5781.73,3,2.421675027202851,-0.28718327848196407,Big Spenders
32,6,2656.13,0,0.424794442521107,-0.4908727857022968,Loyal Customers
85,4,997.63,0,-0.0690757396839974,-0.12018742255875686,Loyal Customers
4,5,725.07,0,0.30789637397419556,-0.8483363759265513,Loyal Customers
5,4,1031.41,0,0.23791146085254314,-0.842617560771186,Loyal Customers
371,1,427.8,1,-1.4612912068346002,2.3909036875784913,At Risk
28,7,2609.1,0,0.5244370873067808,-0.5120630486926462,Loyal Customers
11,7,3980.7,0,0.6856185881203966,-0.6041395691531031,Loyal Customers
71,4,836.33,0,-0.027111363746806054,-0.2541422272216549,Loyal Customers
114,1,453.01,0,-0.4809530968621452,0.06634549975220674,Loyal Customers
24,12,18895.91,3,2.123559245659781,0.2707594124278891,Big Spenders
180,1,236.26000000000002,1,-0.7474997651246142,0.653845033638384,At Risk
234,1,383.95,1,-0.9427270903279977,1.1491626057414055,At Risk
353,1,110.39999999999999,1,-1.4150732607995165,2.213722140514388,At Risk
315,2,779.5699999999999,1,-1.1356071208537948,1.9171030674467548,At Risk
333,1,234.0,1,-1.3302287118408977,2.0383000332909313,At Risk
372,1,155.35,1,-1.4842576545030626,2.3876846602049495,At Risk
78,2,1013.04,0,-0.2167770227821393,-0.21708936404298357,Loyal Customers
64,1,427.6,0,-0.2923575786134475,-0.3872682438681428,Loyal Customers
134,2,540.13,0,-0.46326049968138455,0.26838138383829335,Loyal Customers
52,7,21279.29,3,1.7459492959702312,0.5458406060864236,Big Spenders
2,11,4196.01,0,1.0859050068709533,-0.6073884418870017,Loyal Customers
1,209,33053.19,2,20.487368568602395,4.073762184111824,Potential Loyalists
4,5,4090.88,0,0.5445815719329085,-0.6967740194469255,Loyal Customers
129,1,275.88,0,-0.5505236622717972,0.19411019897104628,Loyal Customers
81,1,4366.78,0,-0.08008275966594379,-0.056047407018802835,Loyal Customers
23,6,21429.39,0,1.7792069354481013,0.273042218090579,Loyal Customers
236,3,3010.74,1,-0.5901869377564782,1.3197958068026139,At Risk
281,2,3811.95,1,-0.7929088580128583,1.745971796098924,At Risk
87,1,112.07999999999998,0,-0.402120965629367,-0.19334011846759647,Loyal Customers
16,13,7834.650000000001,3,1.463907117496224,-0.2825989680745958,Big Spenders
117,2,2791.59,0,-0.2402068675603115,0.21592494144883984,Loyal Customers
52,3,1531.44,0,0.006395139840482704,-0.41190491953286684,Loyal Customers
8,2,1898.52,0,0.1120256137623993,-0.8106735620505201,Loyal Customers
138,2,494.08,0,-0.4817293441908908,0.3025053158127798,Loyal Customers
317,1,1693.88,1,-1.1666469708970726,1.9592481500882974,At Risk
4,7,6989.63,0,0.923861362369644,-0.5319932463389491,Loyal Customers
239,1,1143.6,1,-0.9083464136369016,1.2286165831178508,At Risk
211,1,1351.45,1,-0.7871161910148536,0.9845931266035973,At Risk
60,1,892.47,0,-0.2444371326739532,-0.40253271968176546,Loyal Customers
17,5,1386.04,0,0.30487665323357366,-0.7009308318685474,Loyal Customers
20,6,822.23,0,0.34152557707152537,-0.682045953389357,Loyal Customers
38,8,3981.36,0,0.6705777506992459,-0.3426512426683356,Loyal Customers
64,2,826.74,0,-0.17657065753151904,-0.35216991820213683,Loyal Customers
5,5,2330.92,0,0.41701278520919194,-0.766975592147449,Loyal Customers
2,6,2225.91,0,0.5087706044043596,-0.7817273027328663,Loyal Customers
9,2,532.8199999999999,0,0.012181358770183507,-0.8631216148953009,Loyal Customers
364,1,311.95,1,-1.4427842979126966,2.322341229956315,At Risk
10,3,463.66,0,0.0912295764650518,-0.8400614381564999,Loyal Customers
65,1,91.85,0,-0.31977530934030773,-0.3933376689662027,Loyal Customers
192,1,324.92,1,-0.7869569225002854,0.7664300792916687,At Risk
374,1,192.60000000000002,1,-1.4892535129924926,2.407460808227664,At Risk
257,1,400.53999999999996,1,-1.0291363601792323,1.358045637750004,At Risk
335,2,545.48,1,-1.2282213738427832,2.087549812196562,At Risk
53,2,860.41,0,-0.1323188494705288,-0.4501970557836986,Loyal Customers
19,1,430.48,0,-0.12081093150287876,-0.7943611361752942,Loyal Customers
366,1,254.03,1,-1.4544725514837658,2.3378318747966857,At Risk
10,3,6977.04,0,0.5492532422929867,-0.5467640679997576,Loyal Customers
187,1,427.58,1,-0.760699591385897,0.7258059038398554,At Risk
37,3,483.65000000000003,0,-0.010171192757651375,-0.5948277416698222,Loyal Customers
178,1,489.31,1,-0.7220898865427205,0.6471410887661847,At Risk
261,3,514.85,1,-0.8608901696119787,1.433640696310458,At Risk
45,1,229.64000000000001,0,-0.2339329135159911,-0.5681208007755849,Loyal Customers
102,1,125.92,0,-0.45826243900643976,-0.056976043996762885,Loyal Customers
148,2,1063.46,1,-0.4797667712642027,0.4186383921063618,At Risk
96,2,572.2,0,-0.3163147297366494,-0.07405134890050083,Loyal Customers
281,1,166.04,1,-1.1370100333683226,1.5646714827546613,At Risk
262,1,1542.08,1,-0.967901015444351,1.4546961141314452,At Risk
3,4,942.34,0,0.2392633147908489,-0.8647271623497383,Loyal Customers
